id,type,name,status,description,epic,startTime,duration,endTime
1,TASK,Задача10,NEW,Task11,,2024-06-13T19:55,PT1M,2024-06-13T19:56
2,TASK,Задача10,NEW,Task11,,2024-06-14T19:55,PT1M,2024-06-14T19:56
3,TASK,Задача10,NEW,Task11,,2024-06-15T19:55,PT1M,2024-06-15T19:56
4,EPIC,Эпик1,IN_PROGRESS,Эпик1,,,,
5,EPIC,Эпик2,IN_PROGRESS,Эпик2,,2024-06-16T19:55,PT2M,2024-06-17T19:56
6,SUBTASK,Подзадача1,IN_PROGRESS,Подзадача1,4,,,
8,SUBTASK,Подзадача2,IN_PROGRESS,Подзадача2,5,2024-06-16T19:55,PT1M,2024-06-16T19:56
10,SUBTASK,Подзадача2,IN_PROGRESS,Подзадача2,5,2024-06-17T19:55,PT1M,2024-06-17T19:56

1,3,8,5,
